target_index,lead,time_index,truth,q05,q50,q95
0,1,496,-0.6697542667388916,-0.31422287225723267,0.3778305649757385,1.4300243854522705
0,2,497,-0.4212431311607361,-0.26169395446777344,0.4155024290084839,1.4298286437988281
0,3,498,-0.4399983882904053,-0.27866989374160767,0.41923755407333374,1.3684182167053223
0,4,499,-0.7533544301986694,-0.3124929666519165,0.45551466941833496,1.3733079433441162
0,5,500,-0.5526423454284668,-0.3528837263584137,0.4755171239376068,1.29416024684906
1,1,496,-0.7838003039360046,-1.8858840465545654,-0.8810916543006897,-0.10162925720214844
1,2,497,-0.9655381441116333,-1.8795843124389648,-0.8673268556594849,-0.12860584259033203
1,3,498,-0.633173406124115,-1.8417315483093262,-0.9314467310905457,-0.10714811086654663
1,4,499,-0.7860773801803589,-1.6830244064331055,-0.8214503526687622,-0.07460248470306396
1,5,500,-0.7598663568496704,-1.7514837980270386,-0.7632300853729248,-0.08208703994750977
2,1,496,-0.6339322924613953,-1.4415721893310547,-0.3841017484664917,0.4643895626068115
2,2,497,-0.5530821681022644,-1.4549758434295654,-0.41137754917144775,0.4700862169265747
2,3,498,-0.15030840039253235,-1.5145387649536133,-0.4387508034706116,0.33169203996658325
2,4,499,-0.40319740772247314,-1.5089837312698364,-0.4722321331501007,0.3016432225704193
2,5,500,-0.46498432755470276,-1.5344908237457275,-0.4461713433265686,0.3411623239517212
3,1,496,0.23013873398303986,-1.1141331195831299,-0.09170668572187424,0.6773789525032043
3,2,497,0.21062083542346954,-1.1913071870803833,-0.14037694036960602,0.5848407745361328
3,3,498,1.0631916522979736,-1.0030323266983032,-0.07350682467222214,0.656537652015686
3,4,499,0.23617559671401978,-1.1617381572723389,-0.19108763337135315,0.5460829734802246
3,5,500,0.8970106840133667,-1.2269781827926636,-0.15745942294597626,0.5719341039657593
4,1,496,0.2253907322883606,-0.7356781959533691,0.08769707381725311,0.8592942357063293
4,2,497,0.3261488676071167,-0.7885943651199341,0.022670749574899673,0.7727130651473999
4,3,498,0.2398546040058136,-0.6699426770210266,0.14046698808670044,0.8159680962562561
4,4,499,0.03422759473323822,-0.46882593631744385,0.22776049375534058,1.1011199951171875
4,5,500,0.3639217019081116,-0.47025641798973083,0.17170318961143494,1.0792262554168701
5,1,496,-0.7688862681388855,-1.549088716506958,-0.8552252650260925,-0.027554094791412354
5,2,497,-0.8929081559181213,-1.5067001581192017,-0.8639594316482544,-0.04601287841796875
5,3,498,-0.6190394163131714,-1.628748893737793,-0.9438817501068115,-0.09766536951065063
5,4,499,-0.5452433824539185,-1.5464749336242676,-0.8514969944953918,-0.025356411933898926
5,5,500,0.17907769978046417,-1.5559827089309692,-0.8101854920387268,0.0004239678382873535
6,1,496,-0.02514827251434326,-0.7191792130470276,-0.00590498186647892,0.8748570680618286
6,2,497,0.6735158562660217,-0.7004435658454895,0.053488489240407944,0.8840727806091309
6,3,498,0.2509346008300781,-0.6839286088943481,0.03134544938802719,0.9903550148010254
6,4,499,-0.19113540649414062,-0.3942483067512512,0.16978968679904938,0.9916121363639832
6,5,500,0.9091757535934448,-0.4659869968891144,0.19703570008277893,1.0718125104904175
7,1,496,0.1731487363576889,-1.3383748531341553,-0.18762904405593872,0.5547632575035095
7,2,497,-0.00894215703010559,-1.1788595914840698,-0.1041850671172142,0.6502366065979004
7,3,498,0.09722959995269775,-1.0421277284622192,-0.012485915794968605,0.7638604640960693
7,4,499,-0.34593039751052856,-0.8719763159751892,0.14916568994522095,0.9232410192489624
7,5,500,-0.2524462938308716,-0.771589994430542,0.22059670090675354,1.0866888761520386
8,1,496,-1.5317602157592773,-2.1174402236938477,-1.2425942420959473,-0.6988136172294617
8,2,497,-1.9629191160202026,-2.1738758087158203,-1.2873715162277222,-0.6196121573448181
8,3,498,-1.8912633657455444,-1.9958524703979492,-1.0948407649993896,-0.48885244131088257
8,4,499,-1.95904541015625,-2.0058369636535645,-1.0962622165679932,-0.3924791216850281
8,5,500,-1.7234493494033813,-2.032378673553467,-1.1392650604248047,-0.3224967122077942
9,1,496,-0.879096269607544,-1.7861474752426147,-0.9140082597732544,-0.03281611204147339
9,2,497,-1.2273341417312622,-1.8671002388000488,-0.8890536427497864,-0.03594845533370972
9,3,498,-1.0588264465332031,-1.9372618198394775,-0.9342236518859863,-0.02315700054168701
9,4,499,-1.1872084140777588,-2.0484983921051025,-0.9892461895942688,-0.13671541213989258
9,5,500,-0.7869553565979004,-2.0806283950805664,-0.9697793126106262,-0.17978519201278687
10,1,496,-1.9662842750549316,-1.2820992469787598,-0.45239201188087463,0.4656572639942169
10,2,497,-1.7661120891571045,-1.2173657417297363,-0.41129517555236816,0.4759927988052368
10,3,498,-1.3823493719100952,-1.238637089729309,-0.3991915285587311,0.41589245200157166
10,4,499,-0.9659784436225891,-1.2482714653015137,-0.41138797998428345,0.3722209334373474
10,5,500,-0.9855853319168091,-1.3813467025756836,-0.46674737334251404,0.23664739727973938
11,1,496,0.5093067288398743,-0.7110185623168945,0.03573483228683472,0.9513660073280334
11,2,497,1.1339848041534424,-0.7035695314407349,0.1192912831902504,1.0190826654434204
11,3,498,1.2079066038131714,-0.6495019197463989,0.09810284525156021,1.0705691576004028
11,4,499,1.1851716041564941,-0.5784993171691895,0.07488993555307388,1.0577800273895264
11,5,500,0.6115306615829468,-0.6509653329849243,-0.02975298836827278,0.9978381395339966
12,1,496,0.4475647211074829,-0.20689302682876587,0.8566581606864929,1.6733026504516602
12,2,497,0.370999813079834,-0.18149781227111816,0.8545567989349365,1.6931302547454834
12,3,498,0.551715612411499,-0.2546428442001343,0.776391863822937,1.633326530456543
12,4,499,0.5125595927238464,-0.2313428521156311,0.7302454710006714,1.607655644416809
12,5,500,0.2704806923866272,-0.3729397654533386,0.6281676888465881,1.5612378120422363
13,1,496,0.4268757104873657,-1.1096935272216797,-0.1045796349644661,0.592231810092926
13,2,497,0.31335681676864624,-0.9861201047897339,-0.020860156044363976,0.7099637985229492
13,3,498,0.3680785894393921,-0.83575439453125,0.02067509852349758,0.7853596806526184
