seed,target_index,lead,truth,model,q05,q50,q95
43,0,1,-0.6697542667388916,STDK,-0.8549400568008423,-0.44606494903564453,0.25064361095428467
43,0,1,-0.6697542667388916,STDK_plus_QLSTM,-0.9737486839294434,-0.2593923807144165,0.7613570690155029
43,0,1,-0.6697542667388916,STDK_plus_QConvLSTM,-1.0988373756408691,-0.24471285939216614,0.7327481508255005
43,0,2,-0.4212431311607361,STDK,-1.0643737316131592,-0.6575589179992676,0.04473757743835449
43,0,2,-0.4212431311607361,STDK_plus_QLSTM,-1.0365428924560547,-0.32293134927749634,0.6946430802345276
43,0,2,-0.4212431311607361,STDK_plus_QConvLSTM,-1.0148718357086182,-0.22805757820606232,0.6652336716651917
43,0,3,-0.4399983882904053,STDK,-1.2028082609176636,-0.793719470500946,-0.0764312744140625
43,0,3,-0.4399983882904053,STDK_plus_QLSTM,-1.085684061050415,-0.3763437271118164,0.6455597877502441
43,0,3,-0.4399983882904053,STDK_plus_QConvLSTM,-0.9158693552017212,-0.1542159616947174,0.680526852607727
43,0,4,-0.7533544301986694,STDK,-1.307206630706787,-0.8916637897491455,-0.15375113487243652
43,0,4,-0.7533544301986694,STDK_plus_QLSTM,-1.1104848384857178,-0.40705692768096924,0.6201708316802979
43,0,4,-0.7533544301986694,STDK_plus_QConvLSTM,-0.8442212343215942,-0.07240155339241028,0.8521937131881714
43,0,5,-0.5526423454284668,STDK,-1.3873990774154663,-0.9613983631134033,-0.19752705097198486
43,0,5,-0.5526423454284668,STDK_plus_QLSTM,-1.1209884881973267,-0.42462408542633057,0.6002429723739624
43,0,5,-0.5526423454284668,STDK_plus_QConvLSTM,-0.9055493474006653,-0.06862352788448334,0.8699058890342712
43,1,1,-0.7838003039360046,STDK,-1.5001335144042969,-1.045754313468933,-0.3405824899673462
43,1,1,-0.7838003039360046,STDK_plus_QLSTM,-1.7123324871063232,-0.916359007358551,0.12683945894241333
43,1,1,-0.7838003039360046,STDK_plus_QConvLSTM,-1.9129579067230225,-1.1664488315582275,-0.22902166843414307
43,1,2,-0.9655381441116333,STDK,-1.676152229309082,-1.2239646911621094,-0.5096614956855774
43,1,2,-0.9655381441116333,STDK_plus_QLSTM,-1.784693956375122,-0.9752920269966125,0.07060903310775757
43,1,2,-0.9655381441116333,STDK_plus_QConvLSTM,-1.8972141742706299,-1.169053554534912,-0.1435006856918335
43,1,3,-0.633173406124115,STDK,-1.890034556388855,-1.4354327917099,-0.7042836546897888
43,1,3,-0.633173406124115,STDK_plus_QLSTM,-1.8287768363952637,-1.0084515810012817,0.040009140968322754
43,1,3,-0.633173406124115,STDK_plus_QConvLSTM,-1.806322693824768,-1.059523105621338,-0.25137221813201904
43,1,4,-0.7860773801803589,STDK,-2.0744199752807617,-1.612714409828186,-0.8579520583152771
43,1,4,-0.7860773801803589,STDK_plus_QLSTM,-1.8874800205230713,-1.0570170879364014,-0.004800915718078613
43,1,4,-0.7860773801803589,STDK_plus_QConvLSTM,-1.8464553356170654,-1.0787217617034912,-0.26190847158432007
43,1,5,-0.7598663568496704,STDK,-2.19695782661438,-1.724304437637329,-0.9338257312774658
43,1,5,-0.7598663568496704,STDK_plus_QLSTM,-1.946824073791504,-1.107431173324585,-0.050278544425964355
43,1,5,-0.7598663568496704,STDK_plus_QConvLSTM,-1.8134187459945679,-1.0383816957473755,-0.15959030389785767
43,2,1,-0.6339322924613953,STDK,-1.1392936706542969,-0.6483430862426758,0.01853388547897339
43,2,1,-0.6339322924613953,STDK_plus_QLSTM,-1.2933862209320068,-0.5567387342453003,0.32551103830337524
43,2,1,-0.6339322924613953,STDK_plus_QConvLSTM,-1.2980796098709106,-0.3006526827812195,0.4785304069519043
43,2,2,-0.5530821681022644,STDK,-1.2259622812271118,-0.736968994140625,-0.06560373306274414
43,2,2,-0.5530821681022644,STDK_plus_QLSTM,-1.3941552639007568,-0.6270899772644043,0.2797156572341919
43,2,2,-0.5530821681022644,STDK_plus_QConvLSTM,-1.3258230686187744,-0.3622837960720062,0.4119647443294525
43,2,3,-0.15030840039253235,STDK,-1.30820631980896,-0.8165381550788879,-0.13646137714385986
43,2,3,-0.15030840039253235,STDK_plus_QLSTM,-1.488608717918396,-0.6967520713806152,0.2148200273513794
43,2,3,-0.15030840039253235,STDK_plus_QConvLSTM,-1.3476709127426147,-0.44902393221855164,0.3408278524875641
43,2,4,-0.40319740772247314,STDK,-1.3920994997024536,-0.8929284811019897,-0.2003965973854065
43,2,4,-0.40319740772247314,STDK_plus_QLSTM,-1.5610299110412598,-0.7608163952827454,0.1390652060508728
43,2,4,-0.40319740772247314,STDK_plus_QConvLSTM,-1.4311562776565552,-0.4933612048625946,0.2858692705631256
43,2,5,-0.46498432755470276,STDK,-1.4543588161468506,-0.9457789659500122,-0.2326960563659668
43,2,5,-0.46498432755470276,STDK_plus_QLSTM,-1.6033716201782227,-0.8165053725242615,0.07380425930023193
43,2,5,-0.46498432755470276,STDK_plus_QConvLSTM,-1.4006190299987793,-0.5683403015136719,0.2637249231338501
43,3,1,0.23013873398303986,STDK,-0.7650725841522217,-0.2444215714931488,0.31716641783714294
43,3,1,0.23013873398303986,STDK_plus_QLSTM,-0.9475160837173462,-0.1506246030330658,0.5988563299179077
43,3,1,0.23013873398303986,STDK_plus_QConvLSTM,-1.1707632541656494,-0.17872464656829834,0.5681703686714172
43,3,2,0.21062083542346954,STDK,-0.9430422186851501,-0.423106849193573,0.13883495330810547
43,3,2,0.21062083542346954,STDK_plus_QLSTM,-0.9713184833526611,-0.1702497899532318,0.5869464874267578
43,3,2,0.21062083542346954,STDK_plus_QConvLSTM,-1.084168553352356,-0.1469086855649948,0.6310268640518188
43,3,3,1.0631916522979736,STDK,-1.1239910125732422,-0.6015220284461975,-0.03543287515640259
43,3,3,1.0631916522979736,STDK_plus_QLSTM,-1.003287434577942,-0.20091363787651062,0.5705316066741943
43,3,3,1.0631916522979736,STDK_plus_QConvLSTM,-1.1245306730270386,-0.10496827214956284,0.6171407103538513
43,3,4,0.23617559671401978,STDK,-1.2854456901550293,-0.7567113637924194,-0.18280041217803955
43,3,4,0.23617559671401978,STDK_plus_QLSTM,-1.0414628982543945,-0.23722514510154724,0.5520614385604858
43,3,4,0.23617559671401978,STDK_plus_QConvLSTM,-1.1263017654418945,-0.1593719720840454,0.6012269258499146
43,3,5,0.8970106840133667,STDK,-1.3825337886810303,-0.8474774360656738,-0.25919657945632935
43,3,5,0.8970106840133667,STDK_plus_QLSTM,-1.083180546760559,-0.27690908312797546,0.5329850912094116
43,3,5,0.8970106840133667,STDK_plus_QConvLSTM,-1.2156040668487549,-0.1549387127161026,0.5640302300453186
43,4,1,0.2253907322883606,STDK,-0.04513406753540039,0.36965078115463257,0.9773866534233093
43,4,1,0.2253907322883606,STDK_plus_QLSTM,-0.45852354168891907,0.3730718791484833,1.2680139541625977
