input_chunk_length,output_chunk_length,kernel_size,n_epochs,use_covariates,use_revin,batch_size,lr,weight_decay,const_init,Split,RMSE,MSE,MAE,R2
36,24,25,50,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.546434359,2.391459227,1.124294043,0.94587189
36,24,25,50,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.546482306,2.391607523,1.124319077,0.945868969
36,24,25,50,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.546899198,2.392897129,1.124539971,0.945844889
36,24,31,50,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.548813116,2.398822069,1.124222875,0.945971668
36,24,31,50,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.548818504,2.398838758,1.124224186,0.945971966
36,24,31,50,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.548866916,2.398988724,1.124237776,0.945975661
36,24,31,50,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.549309866,2.400361061,1.124366403,0.946008325
36,24,25,50,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.550170317,2.403028011,1.126324058,0.945656657
60,24,25,30,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.552825503,2.411267042,1.127815723,0.945236802
60,24,25,30,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.552857899,2.411367655,1.127823114,0.945235133
60,24,25,30,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.553146058,2.412262678,1.127893209,0.945220172
60,24,25,30,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.555749502,2.420356512,1.128586173,0.945074797
60,24,31,30,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.562057432,2.440023422,1.130554914,0.945045829
60,24,31,30,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.562531509,2.441504717,1.131065249,0.945081115
60,24,31,30,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.562586362,2.44167614,1.13112545,0.945083916
60,24,31,30,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.562592694,2.441695929,1.131132364,0.945084155
36,24,31,80,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.563058677,2.443152428,1.12873888,0.946955562
36,24,31,80,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.563066075,2.443175554,1.128738523,0.946957111
36,24,31,80,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.563135933,2.443393946,1.128734946,0.946969509
36,24,31,80,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.563819252,2.445530653,1.128844857,0.947066128
60,24,19,30,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.565754743,2.451587915,1.138162374,0.945365012
60,24,19,30,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.565859426,2.451915741,1.138229966,0.945353091
60,24,19,30,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.565866201,2.45193696,1.138233542,0.945351839
60,24,19,30,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.565867191,2.45194006,1.1382339,0.94535172
36,24,25,80,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.570719045,2.467158318,1.134101391,0.946421742
36,24,25,80,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.570737639,2.46721673,1.13410306,0.946423948
36,24,25,80,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.57091044,2.467759609,1.134133816,0.946442246
36,24,19,50,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.571230947,2.468766689,1.146675587,0.944202363
36,24,19,50,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.571256894,2.468848228,1.146690011,0.944200754
36,24,19,50,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.571492373,2.46958828,1.146822333,0.944185734
36,24,25,80,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.572648091,2.473222017,1.134767175,0.946538687
36,24,19,50,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.57372759,2.476618528,1.148084283,0.944044352
60,24,19,50,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.576517703,2.485408068,1.146284938,0.94419378
60,24,19,50,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.576533885,2.485459089,1.146294117,0.944191456
60,24,19,50,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.57668367,2.485931396,1.146379471,0.944170296
60,24,19,50,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.5780935,2.490379095,1.147196531,0.943958819
