run,sample_seed,n_sample,t_train,t_test,dlinear_rmse,dlinear_mse,dlinear_mae,dlinear_r2,frk_rmse,frk_mse,frk_mae,frk_r2,rmse_improve_pct,nan_ratio,k_first_step,k_last_step
1,42,100,438,110,1.7290014072816235,2.9894458663818346,1.2850810519131748,0.9401591239153976,1.777508625507888,3.1595369137549416,1.3163942204568368,0.9464879948536264,-2.805504843546001,0.1095890410958904,96,96
2,43,100,438,110,1.7232111718417258,2.9694567427601335,1.2578384593616831,0.9117693359078193,1.6404126687277631,2.690953723722542,1.1880466492023583,0.9416100060230659,4.804895909853558,0.1095890410958904,96,96
3,44,100,438,110,1.7957067464246723,3.2245627191550823,1.3311435533003375,0.9293426190713433,1.853020096714328,3.4336834788271773,1.3604206687894316,0.9422338908734815,-3.191687640744736,0.1095890410958904,96,96
4,45,100,438,110,1.8471763052655192,3.4120603027343748,1.3710499988902698,0.8995458538193547,1.7535857582408576,3.075063011505163,1.2828919819175253,0.9413913202125177,5.066681873185279,0.1095890410958904,96,96
5,46,100,438,110,1.7653367141770746,3.1164137144215105,1.3028574953946201,0.919735822744653,1.7317025427692396,2.9987936966334505,1.2483616786233898,0.9446909467511605,1.9052553055587365,0.1095890410958904,96,96
6,47,100,438,110,1.8212898938244815,3.317096877347191,1.3574674890691585,0.9092413501590657,1.7539739480037446,3.076424610275843,1.2945791971765015,0.9433157679826156,3.6960588234189213,0.1095890410958904,96,96
7,48,100,438,110,1.6719310595134262,2.795353467765688,1.2254433538263494,0.9358148165143176,1.6605833901234859,2.7575371955540096,1.2185641080043519,0.9466460301758138,0.6787163457112172,0.1095890410958904,96,96
8,49,100,438,110,1.7775340700259055,3.1596273701028603,1.3019242151433772,0.9298944221478815,1.7044672402707675,2.9052085731562465,1.2553656125562775,0.9459855829092787,4.11057267409075,0.1095890410958904,96,96
9,50,100,438,110,1.7852009176732986,3.1869423164615878,1.312742699363015,0.9265726455327272,1.7062988410312012,2.9114557349044206,1.2394748484174385,0.9470340679872206,4.419786919274756,0.1095890410958904,96,96
10,51,100,438,110,1.6905154814977694,2.857842593183635,1.2313767464377663,0.9188726505411117,1.6123433884131706,2.5996512021596643,1.1583510334016325,0.9475006283746167,4.624157184017008,0.1095890410958904,96,96
