scenario,target,space_split,n_train_space,n_unobs_space,n_target_space,model,alpha_obs,lambda_unobs,row_type,seed,RMSE,MSE,MAE,R2
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,41,68.986881,4759.189759,57.645861,0.194602
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,42,63.301158,4007.036637,51.449869,0.288655
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,43,89.820654,8067.749847,71.250947,0.277327
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,44,68.832283,4737.883192,55.722963,0.265300
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,45,66.482067,4419.865231,60.161477,0.081303
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,mean_std,mean +/- std,71.484609 +/- 9.396577,5198.344933 +/- 1460.384398,59.246223 +/- 6.643926,0.221437 +/- 0.077361
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,STDK,,,seed,41,28.424344,807.943359,19.768791,-188.371017
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,STDK,,,seed,42,39.652337,1572.307861,28.720087,-293.985504
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,STDK,,,seed,43,57.435885,3298.880859,41.112606,-958.995728
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,STDK,,,seed,44,46.537462,2165.735352,29.912382,-397.234680
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,STDK,,,seed,45,26.229319,687.977173,19.802740,-124.894821
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,STDK,,,mean_std,mean +/- std,39.655869 +/- 11.575013,1706.568921 +/- 960.143135,27.863321 +/- 7.886325,-392.696350 +/- 297.968425
