scenario,target,space_split,n_train_space,n_unobs_space,n_target_space,model,alpha_obs,lambda_unobs,row_type,seed,RMSE,MSE,MAE,R2
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,41,5.303045,28.122288,4.020024,0.118715
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,42,5.104044,26.051264,3.945939,0.073349
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,43,5.819326,33.864553,4.410176,-0.004741
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,44,5.366158,28.795649,4.159241,0.004552
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,45,4.819852,23.230976,3.775110,0.074534
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,mean_std,mean +/- std,5.282485 +/- 0.329087,28.012946 +/- 3.509454,4.062098 +/- 0.213644,0.053282 +/- 0.046642
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,STDK,,,seed,41,4.571949,20.902721,3.612136,-0.654119
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,STDK,,,seed,42,4.549855,20.701183,3.596909,-0.769000
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,STDK,,,seed,43,5.176398,26.795099,4.079817,-1.743806
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,STDK,,,seed,44,5.129418,26.310925,3.943478,-0.848342
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,STDK,,,seed,45,4.286500,18.374079,3.470148,-0.448253
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,STDK,,,mean_std,mean +/- std,4.742824 +/- 0.349888,22.616801 +/- 3.338056,3.740498 +/- 0.230877,-0.892704 +/- 0.446342
spatiotemp_100x150,Target_ST100x150,200/300/100,200,300,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,41,5.392823,29.082536,4.136200,0.076447
spatiotemp_100x150,Target_ST100x150,200/300/100,200,300,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,42,5.175136,26.782030,3.966227,0.084401
spatiotemp_100x150,Target_ST100x150,200/300/100,200,300,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,43,5.484062,30.074935,4.167458,0.075027
spatiotemp_100x150,Target_ST100x150,200/300/100,200,300,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,44,5.090233,25.910469,3.922336,0.095479
spatiotemp_100x150,Target_ST100x150,200/300/100,200,300,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,45,5.617499,31.556299,4.295510,0.060642
spatiotemp_100x150,Target_ST100x150,200/300/100,200,300,100,DLINEAR + differentiable_FRK,1.0,1.0,mean_std,mean +/- std,5.351950 +/- 0.194628,28.681254 +/- 2.081036,4.097546 +/- 0.136759,0.078399 +/- 0.011474
