target_index,lead,time_index,truth,q05,q50,q95
0,1,496,20.200000762939453,14.565673828125,18.243083953857422,22.21492576599121
0,2,497,22.899999618530273,14.720704078674316,18.37722396850586,23.20603370666504
0,3,498,23.100000381469727,13.496594429016113,17.01401138305664,21.834148406982422
0,4,499,18.5,11.901362419128418,14.930205345153809,20.013471603393555
0,5,500,13.800000190734863,10.610087394714355,14.614742279052734,19.439191818237305
1,1,496,10.600000381469727,7.378263473510742,12.646400451660156,17.23273468017578
1,2,497,18.5,10.1134672164917,15.891400337219238,20.676494598388672
1,3,498,20.299999237060547,11.579148292541504,18.177452087402344,23.049203872680664
1,4,499,21.5,8.822296142578125,15.617974281311035,20.5898380279541
1,5,500,15.0,7.399097442626953,13.397421836853027,18.610685348510742
2,1,496,18.299999237060547,19.083106994628906,23.279096603393555,28.328411102294922
2,2,497,23.600000381469727,22.078083038330078,27.129047393798828,32.654823303222656
2,3,498,26.299999237060547,23.509862899780273,28.461570739746094,34.9033203125
2,4,499,27.299999237060547,21.962188720703125,27.35492515563965,33.4483528137207
2,5,500,25.700000762939453,17.98025131225586,24.42681884765625,30.869281768798828
3,1,496,13.600000381469727,8.10809326171875,14.59360122680664,19.02675437927246
3,2,497,20.100000381469727,10.231592178344727,16.659446716308594,21.857511520385742
3,3,498,23.5,10.963189125061035,16.608694076538086,21.691308975219727
3,4,499,24.600000381469727,8.861087799072266,12.956015586853027,18.089916229248047
3,5,500,14.699999809265137,5.130645751953125,12.157560348510742,17.340911865234375
4,1,496,17.100000381469727,13.036219596862793,17.801881790161133,23.846147537231445
4,2,497,21.5,13.005428314208984,17.40205955505371,23.013731002807617
4,3,498,23.299999237060547,12.481999397277832,16.919200897216797,22.37327003479004
4,4,499,22.0,10.31266975402832,14.61074161529541,20.43972396850586
4,5,500,18.200000762939453,9.896415710449219,14.351162910461426,19.52037811279297
5,1,496,19.200000762939453,14.1345796585083,19.15604591369629,23.38336944580078
5,2,497,24.299999237060547,15.37441635131836,20.04192543029785,24.356401443481445
5,3,498,26.799999237060547,14.760452270507812,19.548906326293945,23.383544921875
5,4,499,25.200000762939453,14.085066795349121,17.799022674560547,21.598907470703125
5,5,500,19.299999237060547,12.384027481079102,16.604854583740234,20.244037628173828
6,1,496,20.200000762939453,16.91373634338379,21.908384323120117,27.333271026611328
6,2,497,25.100000381469727,20.227182388305664,25.298851013183594,30.786771774291992
6,3,498,27.100000381469727,20.589197158813477,25.616329193115234,30.570222854614258
6,4,499,26.899999618530273,17.965660095214844,22.668346405029297,27.445117950439453
6,5,500,20.399999618530273,15.197888374328613,20.131710052490234,24.821109771728516
7,1,496,15.5,11.631739616394043,15.212884902954102,20.518390655517578
7,2,497,20.100000381469727,11.152054786682129,14.268218994140625,20.596651077270508
7,3,498,21.399999618530273,10.102930068969727,14.08044147491455,19.00604248046875
7,4,499,19.700000762939453,10.641879081726074,14.406734466552734,18.389665603637695
7,5,500,15.699999809265137,10.970125198364258,14.236730575561523,18.437673568725586
8,1,496,20.399999618530273,15.430554389953613,20.351722717285156,25.682485580444336
8,2,497,25.200000762939453,16.53592300415039,21.594133377075195,26.754240036010742
8,3,498,26.399999618530273,16.57044219970703,21.86248779296875,26.854267120361328
8,4,499,23.600000381469727,15.710646629333496,20.52988052368164,25.397153854370117
8,5,500,20.299999237060547,14.050189971923828,18.962648391723633,24.137516021728516
9,1,496,20.799999237060547,22.139610290527344,26.082653045654297,29.176687240600586
9,2,497,22.799999237060547,24.4832763671875,28.501134872436523,31.614076614379883
9,3,498,24.399999618530273,24.361064910888672,28.399368286132812,32.652610778808594
9,4,499,23.299999237060547,21.915111541748047,25.82496452331543,28.932613372802734
9,5,500,20.799999237060547,18.9591064453125,22.914100646972656,25.808259963989258
10,1,496,20.399999618530273,21.049997329711914,25.29397964477539,28.179615020751953
10,2,497,22.299999237060547,22.673599243164062,26.89866065979004,29.828269958496094
10,3,498,23.899999618530273,21.748746871948242,26.24097442626953,29.505868911743164
10,4,499,23.600000381469727,20.076852798461914,24.26358985900879,27.663272857666016
10,5,500,22.600000381469727,18.497831344604492,23.195220947265625,26.665855407714844
11,1,496,20.0,20.453170776367188,24.290538787841797,28.612804412841797
11,2,497,23.200000762939453,22.2034969329834,26.092052459716797,30.201435089111328
11,3,498,23.399999618530273,21.12503433227539,24.72894287109375,28.917072296142578
11,4,499,22.799999237060547,19.776844024658203,23.6641845703125,27.71554183959961
11,5,500,21.899999618530273,17.371423721313477,20.84370994567871,25.099315643310547
12,1,496,21.100000381469727,20.62502098083496,25.669042587280273,28.922800064086914
12,2,497,22.299999237060547,23.10312843322754,27.550004959106445,30.867231369018555
12,3,498,24.100000381469727,23.243541717529297,27.365964889526367,31.119853973388672
12,4,499,23.5,22.05181884765625,25.41830062866211,29.152042388916016
12,5,500,21.600000381469727,18.895917892456055,22.434118270874023,25.93094825744629
13,1,496,15.300000190734863,12.403592109680176,17.207927703857422,21.46865463256836
13,2,497,18.100000381469727,14.496466636657715,20.00775909423828,24.203929901123047
13,3,498,18.5,15.046049118041992,19.782190322875977,24.788360595703125
13,4,499,18.600000381469727,12.281721115112305,17.083335876464844,21.91698455810547
13,5,500,16.0,10.572977066040039,15.230545043945312,20.065866470336914
14,1,496,17.100000381469727,14.627552032470703,22.593521118164062,27.31887435913086
14,2,497,17.100000381469727,15.709005355834961,22.113670349121094,26.589841842651367
14,3,498,19.200000762939453,14.27226734161377,20.924959182739258,25.66453742980957
14,4,499,18.700000762939453,13.54104995727539,19.57544708251953,24.46613311767578
14,5,500,17.700000762939453,12.632948875427246,18.81405258178711,23.624727249145508
15,1,496,17.200000762939453,15.644190788269043,20.413047790527344,22.684545516967773
15,2,497,18.399999618530273,17.171096801757812,21.23552131652832,23.2789249420166
15,3,498,19.100000381469727,17.080459594726562,20.622295379638672,23.33600425720215
15,4,499,18.799999237060547,15.245963096618652,18.25640296936035,20.930150985717773
15,5,500,18.100000381469727,12.096854209899902,14.5287504196167,19.228029251098633
16,1,496,19.200000762939453,21.399568557739258,24.43600845336914,28.545291900634766
16,2,497,21.299999237060547,22.740821838378906,26.08814239501953,30.07513427734375
16,3,498,22.899999618530273,22.12727928161621,25.13045883178711,29.239055633544922
16,4,499,22.799999237060547,20.20085906982422,23.12679672241211,26.992919921875
