model,scenario,RMSE,MSE,MAE,R2
SVGP,Target_Time150,3.248717,10.554163,2.573845,0.651896
DLinear+FRK,Target_Time150,3.791848,14.378115,2.937695,0.525773
STDK,Target_Time150,4.293592,18.434929,3.377500,0.391968
STDK+Q,Target_Time150,5.341084,28.527174,4.203435,0.059100
DLinear+FRK,Target_Space100,3.095808,9.584029,2.241228,0.769712
SVGP,Target_Space100,3.169631,10.046559,2.453534,0.758599
STDK+Q,Target_Space100,4.652150,21.642502,3.638840,0.479968
STDK,Target_Space100,5.369811,28.834875,4.174917,0.307148
SVGP,Target_ST100x150,3.203612,10.263128,2.550407,0.642559
DLinear+FRK,Target_ST100x150,3.735412,13.953302,2.920093,0.514038
STDK,Target_ST100x150,4.322475,18.683786,3.409251,0.349286
STDK+Q,Target_ST100x150,5.525229,30.528158,4.330130,-0.063226
