target_index,lead,time_index,truth,q05,q50,q95
0,1,496,20.200000762939453,13.005555152893066,17.210155487060547,21.12531089782715
0,2,497,22.899999618530273,16.370019912719727,20.667619705200195,24.728904724121094
0,3,498,23.100000381469727,15.81690788269043,19.235612869262695,23.473962783813477
0,4,499,18.5,15.408892631530762,19.282323837280273,22.961267471313477
0,5,500,13.800000190734863,13.053102493286133,17.410062789916992,20.922164916992188
1,1,496,10.600000381469727,7.084331512451172,12.367961883544922,17.160934448242188
1,2,497,18.5,9.226173400878906,14.94766616821289,19.10317039489746
1,3,498,20.299999237060547,10.000856399536133,15.77878475189209,20.13506317138672
1,4,499,21.5,9.2857666015625,14.818133354187012,19.459253311157227
1,5,500,15.0,7.439775466918945,12.899444580078125,17.695999145507812
2,1,496,18.299999237060547,15.66122055053711,21.628681182861328,26.736173629760742
2,2,497,23.600000381469727,18.921371459960938,25.00735855102539,30.12763786315918
2,3,498,26.299999237060547,21.076120376586914,27.508813858032227,33.064369201660156
2,4,499,27.299999237060547,21.963138580322266,28.028568267822266,33.61204528808594
2,5,500,25.700000762939453,20.26442527770996,26.607746124267578,31.98448371887207
3,1,496,13.600000381469727,7.928123474121094,16.20433807373047,20.684982299804688
3,2,497,20.100000381469727,11.785395622253418,18.76458740234375,24.01341438293457
3,3,498,23.5,14.108768463134766,21.205280303955078,26.994598388671875
3,4,499,24.600000381469727,14.072399139404297,21.098596572875977,26.248748779296875
3,5,500,14.699999809265137,11.400360107421875,17.732730865478516,23.154796600341797
4,1,496,17.100000381469727,13.22874927520752,17.337589263916016,23.92347526550293
4,2,497,21.5,14.913748741149902,19.105127334594727,25.9388370513916
4,3,498,23.299999237060547,13.959710121154785,18.338708877563477,24.32316780090332
4,4,499,22.0,10.912720680236816,15.616166114807129,20.498729705810547
4,5,500,18.200000762939453,8.283248901367188,13.052759170532227,18.325149536132812
5,1,496,19.200000762939453,17.650127410888672,21.86593246459961,26.942188262939453
5,2,497,24.299999237060547,18.313758850097656,22.446258544921875,26.89851951599121
5,3,498,26.799999237060547,16.530826568603516,20.684650421142578,25.119150161743164
5,4,499,25.200000762939453,14.509785652160645,18.7723388671875,23.09760856628418
5,5,500,19.299999237060547,13.210526466369629,17.60635757446289,21.435998916625977
6,1,496,20.200000762939453,18.684139251708984,22.858070373535156,28.616071701049805
6,2,497,25.100000381469727,20.87283706665039,25.00126838684082,30.49335289001465
6,3,498,27.100000381469727,22.53839683532715,26.579387664794922,32.179351806640625
6,4,499,26.899999618530273,21.755130767822266,25.866336822509766,31.035547256469727
6,5,500,20.399999618530273,19.124101638793945,23.019367218017578,28.656211853027344
7,1,496,15.5,12.095792770385742,19.41440773010254,23.204936981201172
7,2,497,20.100000381469727,13.614452362060547,20.023426055908203,25.779373168945312
7,3,498,21.399999618530273,13.959888458251953,19.59035873413086,25.60209846496582
7,4,499,19.700000762939453,13.958163261413574,19.216588973999023,26.09678077697754
7,5,500,15.699999809265137,11.69823932647705,17.99557876586914,24.887460708618164
8,1,496,20.399999618530273,15.790275573730469,19.884328842163086,25.352859497070312
8,2,497,25.200000762939453,18.08538246154785,22.45989990234375,28.46509552001953
8,3,498,26.399999618530273,18.144084930419922,22.118701934814453,28.015583038330078
8,4,499,23.600000381469727,16.482994079589844,21.108713150024414,25.842153549194336
8,5,500,20.299999237060547,15.31806468963623,19.979949951171875,24.94536781311035
9,1,496,20.799999237060547,19.91034698486328,23.876394271850586,27.38755989074707
9,2,497,22.799999237060547,22.2440242767334,25.61350440979004,29.05515480041504
9,3,498,24.399999618530273,23.0670223236084,26.180702209472656,29.115402221679688
9,4,499,23.299999237060547,21.859149932861328,25.134315490722656,28.395292282104492
9,5,500,20.799999237060547,20.51892852783203,23.43248748779297,26.783584594726562
10,1,496,20.399999618530273,23.290197372436523,26.427356719970703,29.47075843811035
10,2,497,22.299999237060547,24.82547950744629,28.99354362487793,32.043094635009766
10,3,498,23.899999618530273,25.13937759399414,28.353424072265625,30.954248428344727
10,4,499,23.600000381469727,21.62083625793457,25.45684051513672,28.6995849609375
10,5,500,22.600000381469727,19.54766845703125,22.82386016845703,25.941530227661133
11,1,496,20.0,22.127391815185547,25.41823387145996,29.10838508605957
11,2,497,23.200000762939453,24.027198791503906,26.817598342895508,30.487957000732422
11,3,498,23.399999618530273,23.44875717163086,25.68457794189453,29.62639045715332
11,4,499,22.799999237060547,21.974693298339844,24.346004486083984,27.895065307617188
11,5,500,21.899999618530273,19.8723201751709,22.915164947509766,25.969186782836914
12,1,496,21.100000381469727,22.212295532226562,26.54062271118164,30.992820739746094
12,2,497,22.299999237060547,22.985408782958984,27.68885612487793,31.460229873657227
12,3,498,24.100000381469727,23.919822692871094,27.433971405029297,30.64855194091797
12,4,499,23.5,22.110227584838867,26.03557014465332,29.004335403442383
12,5,500,21.600000381469727,20.15694236755371,24.663362503051758,27.723812103271484
13,1,496,15.300000190734863,13.843415260314941,18.937929153442383,24.067773818969727
13,2,497,18.100000381469727,16.656417846679688,21.603864669799805,27.24434471130371
13,3,498,18.5,18.3258056640625,22.72092056274414,28.16498565673828
13,4,499,18.600000381469727,16.44969367980957,20.44023323059082,25.76184844970703
13,5,500,16.0,13.749669075012207,18.107179641723633,22.534440994262695
14,1,496,17.100000381469727,16.92789077758789,21.395130157470703,25.43630599975586
14,2,497,17.100000381469727,19.932159423828125,24.64470863342285,28.420122146606445
14,3,498,19.200000762939453,19.583850860595703,24.15597152709961,28.186077117919922
14,4,499,18.700000762939453,17.575292587280273,21.416702270507812,25.907665252685547
14,5,500,17.700000762939453,15.782259941101074,18.89252471923828,24.07663345336914
15,1,496,17.200000762939453,16.441865921020508,20.403249740600586,25.282875061035156
15,2,497,18.399999618530273,18.075424194335938,23.233091354370117,28.532255172729492
15,3,498,19.100000381469727,18.241239547729492,23.384592056274414,28.16311264038086
15,4,499,18.799999237060547,15.528738021850586,20.96147918701172,25.612878799438477
15,5,500,18.100000381469727,15.565211296081543,18.896316528320312,22.608827590942383
16,1,496,19.200000762939453,21.0161190032959,23.216970443725586,27.37911033630371
16,2,497,21.299999237060547,23.015806198120117,24.760387420654297,28.535982131958008
16,3,498,22.899999618530273,22.98361587524414,25.03274154663086,28.03514289855957
16,4,499,22.799999237060547,22.110973358154297,24.013275146484375,27.07182502746582
16,5,500,21.0,21.08591079711914,23.85460090637207,26.395130157470703
17,1,496,16.799999237060547,12.908852577209473,20.721981048583984,24.904760360717773
17,2,497,17.899999618530273,16.266796112060547,23.81051254272461,27.82926368713379
17,3,498,18.399999618530273,17.525869369506836,24.520851135253906,28.48724937438965
17,4,499,17.100000381469727,14.656517028808594,20.76097869873047,25.099822998046875
17,5,500,15.899999618530273,10.356115341186523,17.2271728515625,22.132911682128906
18,1,496,17.399999618530273,12.40482234954834,16.458377838134766,22.359935760498047
18,2,497,19.0,13.67238712310791,16.866180419921875,23.946941375732422
18,3,498,19.100000381469727,16.54107093811035,20.028100967407227,26.92082405090332
18,4,499,17.399999618530273,15.727299690246582,19.010513305664062,26.681760787963867
18,5,500,16.899999618530273,14.18858814239502,18.510154724121094,25.41433334350586
19,1,496,18.600000381469727,16.82818603515625,21.688983917236328,24.513835906982422
19,2,497,19.399999618530273,18.751529693603516,23.70132827758789,27.398765563964844
19,3,498,18.399999618530273,20.032087326049805,24.896156311035156,28.069791793823242
19,4,499,18.299999237060547,18.28413963317871,23.22344970703125,25.807090759277344
19,5,500,18.0,16.174415588378906,21.508201599121094,26.00619888305664
20,1,496,19.600000381469727,20.556900024414062,22.679182052612305,25.455768585205078
20,2,497,22.200000762939453,22.715049743652344,25.236053466796875,28.098039627075195
20,3,498,23.799999237060547,20.78375244140625,24.656932830810547,27.855985641479492
20,4,499,19.0,18.249610900878906,22.090038299560547,25.231470108032227
20,5,500,13.300000190734863,15.516470909118652,20.27468490600586,22.768064498901367
21,1,496,22.200000762939453,16.34387969970703,20.89916229248047,24.909591674804688
21,2,497,26.299999237060547,19.75273895263672,25.638572692871094,29.23158836364746
21,3,498,28.399999618530273,21.39883804321289,27.632747650146484,31.468711853027344
21,4,499,25.600000381469727,21.265979766845703,26.58572769165039,29.81508445739746
21,5,500,22.299999237060547,19.63343048095703,24.50952911376953,27.48126792907715
22,1,496,19.100000381469727,18.167823791503906,23.180936813354492,26.94646453857422
22,2,497,23.5,20.211933135986328,25.332677841186523,28.585235595703125
22,3,498,24.0,20.9713134765625,25.379329681396484,28.9096622467041
22,4,499,21.299999237060547,18.353511810302734,23.080718994140625,26.128753662109375
22,5,500,15.399999618530273,15.418662071228027,19.53466796875,22.6226806640625
23,1,496,16.0,17.48086166381836,21.600910186767578,25.110538482666016
23,2,497,23.0,20.339004516601562,24.868688583374023,28.10846710205078
23,3,498,25.100000381469727,20.828872680664062,25.340059280395508,27.88494110107422
23,4,499,19.899999618530273,18.512344360351562,22.947566986083984,25.686811447143555
23,5,500,15.199999809265137,15.76213264465332,19.393444061279297,22.387853622436523
24,1,496,20.100000381469727,19.13774871826172,24.439708709716797,26.831253051757812
