trial,state,mean_val_4plus5_rmse_raw,std_val_4plus5_rmse_raw,INPUT_CHUNK_LENGTH,OUTPUT_CHUNK_LENGTH,KERNEL_SIZE,N_EPOCHS,BATCH_SIZE,LR,WEIGHT_DECAY,CONST_INIT,FRK_TRAIN_N_NEIGHBOR,SPATIAL_SURROGATE_BANDWIDTH,DIFF_FRK_OBS_LOSS_WEIGHT,DIFF_FRK_LOSS_WEIGHT
0,COMPLETE,3.7613604011888224,0.07532880627413463,36,12,15,350,16,0.0002,0.0,False,10,0.5,1.5,2.0
1,COMPLETE,3.650795108939516,0.00892279898843551,24,24,15,350,64,0.0002,1e-05,False,5,auto,1.5,2.0
2,COMPLETE,3.958354125685985,0.08806205476343276,36,12,15,350,32,0.0003,0.0,False,10,0.3,0.5,2.0
3,COMPLETE,3.5956087090919553,0.061689307165864404,48,24,15,350,32,0.0001,0.0,False,8,0.5,1.0,1.5
4,COMPLETE,3.591187315687149,0.0014790058736064982,36,12,25,350,16,0.0001,1e-05,True,5,auto,2.0,2.0
5,COMPLETE,3.637776831496301,0.029023487226130795,24,24,25,350,32,0.0003,0.0,False,3,0.1,1.0,2.0
6,COMPLETE,3.841428296591587,0.02459768008010199,24,12,25,350,16,0.0001,0.0,True,3,0.1,0.5,1.0
7,COMPLETE,3.702499377785897,0.05515303215280598,48,12,15,350,64,0.0001,1e-05,True,5,0.2,0.5,2.0
8,COMPLETE,3.7683788887743184,0.034979324961598834,36,24,25,350,32,0.0003,1e-05,True,10,0.3,0.5,2.0
9,COMPLETE,3.5121493302335565,0.018715901796105605,48,24,15,350,16,0.0001,1e-05,True,5,0.5,1.0,0.5
10,COMPLETE,3.5790722072858685,0.03216711057223587,48,24,15,350,16,0.0001,1e-05,True,8,0.5,1.0,0.5
11,COMPLETE,3.5790722072858685,0.03216711057223587,48,24,15,350,16,0.0001,1e-05,True,8,0.5,1.0,0.5
12,COMPLETE,3.5790722072858685,0.03216711057223587,48,24,15,350,16,0.0001,1e-05,True,8,0.5,1.0,0.5
13,COMPLETE,3.5121493302335565,0.018715901796105605,48,24,15,350,16,0.0001,1e-05,True,5,0.5,1.0,0.5
14,COMPLETE,3.501724598650326,0.040829437081760345,48,24,15,350,16,0.0001,1e-05,True,5,0.2,2.0,0.5
15,COMPLETE,3.4776209119558126,0.037030895078339565,48,24,15,350,16,0.0002,1e-05,True,5,0.2,2.0,0.5
16,COMPLETE,3.449545674545671,0.014155334200216085,48,24,15,350,64,0.0002,1e-05,True,5,0.2,2.0,1.5
17,COMPLETE,3.449545674545671,0.014155334200216085,48,24,15,350,64,0.0002,1e-05,True,5,0.2,2.0,1.5
18,COMPLETE,3.4510513072349918,0.0145248061796861,48,24,25,350,64,0.0002,1e-05,True,5,0.2,2.0,1.5
19,COMPLETE,3.6070420562953656,0.05423676742006789,24,24,15,350,64,0.0002,1e-05,True,3,0.2,2.0,1.5
20,COMPLETE,3.449545674545671,0.014155334200216085,48,24,15,350,64,0.0002,1e-05,True,5,0.2,2.0,1.5
21,COMPLETE,3.449545674545671,0.014155334200216085,48,24,15,350,64,0.0002,1e-05,True,5,0.2,2.0,1.5
22,COMPLETE,3.449545674545671,0.014155334200216085,48,24,15,350,64,0.0002,1e-05,True,5,0.2,2.0,1.5
23,COMPLETE,3.449545674545671,0.014155334200216085,48,24,15,350,64,0.0002,1e-05,True,5,0.2,2.0,1.5
24,COMPLETE,3.449545674545671,0.014155334200216085,48,24,15,350,64,0.0002,1e-05,True,5,0.2,2.0,1.5
25,COMPLETE,3.469221550003522,0.012688079580128075,48,24,15,350,64,0.0002,1e-05,True,5,0.2,2.0,1.0
26,COMPLETE,3.4630838792079515,0.03197543197298325,48,12,25,350,64,0.0002,0.0,False,5,0.1,1.5,1.5
27,COMPLETE,3.5722964489546847,0.022818692549706254,48,24,15,350,64,0.0002,1e-05,True,10,0.2,2.0,1.5
28,COMPLETE,3.6080661743493208,0.05612039105980249,24,24,15,350,64,0.0002,1e-05,True,3,auto,2.0,1.5
29,COMPLETE,3.735307617586619,0.06539655405679468,36,12,15,350,64,0.0002,0.0,False,10,0.3,1.5,1.5
