scenario,target,model,alpha_obs,lambda_unobs,row_type,seed,RMSE,MSE,MAE,R2
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,0.5,seed,41,4.795734,22.999065,3.664087,0.480028
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,0.5,seed,42,4.367490,19.074966,3.404091,0.504812
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,0.5,seed,43,5.302971,28.121501,3.901691,0.396888
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,0.5,seed,44,4.625981,21.399703,3.500347,0.478151
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,0.5,seed,45,4.323089,18.689094,3.413948,0.506819
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,0.5,mean_std,mean +/- std,4.683053 +/- 0.354798,22.056866 +/- 3.415641,3.576833 +/- 0.187279,0.473340 +/- 0.040060
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,1.0,seed,41,4.780453,22.852733,3.642743,0.483336
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,1.0,seed,42,4.357025,18.983670,3.392216,0.507182
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,1.0,seed,43,5.296046,28.048106,3.888238,0.398462
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,1.0,seed,44,4.618777,21.333105,3.493051,0.479775
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,1.0,seed,45,4.310718,18.582294,3.399948,0.509637
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,1.0,mean_std,mean +/- std,4.672604 +/- 0.356022,21.959982 +/- 3.421182,3.563239 +/- 0.185894,0.475679 +/- 0.040456
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,1.5,seed,41,4.775749,22.807780,3.635106,0.484352
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,1.5,seed,42,4.352959,18.948256,3.387485,0.508102
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,1.5,seed,43,5.295067,28.037731,3.883153,0.398684
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,1.5,seed,44,4.615481,21.302665,3.489858,0.480517
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,1.5,seed,45,4.303336,18.518698,3.390540,0.511316
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,1.5,mean_std,mean +/- std,4.668518 +/- 0.357718,21.923026 +/- 3.434995,3.557229 +/- 0.186241,0.476594 +/- 0.040850
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,2.0,seed,41,4.843167,23.456270,3.689245,0.469691
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,2.0,seed,42,4.353345,18.951616,3.387730,0.508014
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,2.0,seed,43,5.334663,28.458634,3.914386,0.389657
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,2.0,seed,44,4.626963,21.408788,3.498564,0.477930
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,2.0,seed,45,4.345433,18.882789,3.417455,0.501708
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,0.5,2.0,mean_std,mean +/- std,4.700714 +/- 0.367291,22.231619 +/- 3.547552,3.581476 +/- 0.196854,0.469400 +/- 0.042348
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,0.5,seed,41,4.808639,23.123010,3.680954,0.477225
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,0.5,seed,42,4.377340,19.161107,3.415734,0.502576
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,0.5,seed,43,5.309466,28.190432,3.910982,0.395410
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,0.5,seed,44,4.631582,21.451555,3.505810,0.476887
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,0.5,seed,45,4.331783,18.764342,3.422615,0.504833
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,0.5,mean_std,mean +/- std,4.691762 +/- 0.354200,22.138089 +/- 3.415167,3.587219 +/- 0.188009,0.471386 +/- 0.039820
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,1.0,seed,41,4.795732,22.999042,3.664086,0.480028
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,1.0,seed,42,4.367487,19.074944,3.404090,0.504813
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,1.0,seed,43,5.302969,28.121481,3.901690,0.396888
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,1.0,seed,44,4.625979,21.399680,3.500346,0.478152
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,1.0,seed,45,4.323086,18.689073,3.413947,0.506820
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,1.0,mean_std,mean +/- std,4.683051 +/- 0.354798,22.056844 +/- 3.415642,3.576831 +/- 0.187279,0.473340 +/- 0.040060
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,1.5,seed,41,4.786585,22.911392,3.651463,0.482010
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,1.5,seed,42,4.361495,19.022636,3.397601,0.506171
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,1.5,seed,43,5.298660,28.075803,3.893911,0.397868
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,1.5,seed,44,4.621824,21.361259,3.496130,0.479089
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,1.5,seed,45,4.316217,18.629733,3.406444,0.508386
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,1.5,mean_std,mean +/- std,4.676956 +/- 0.355309,22.000164 +/- 3.416940,3.569110 +/- 0.186268,0.474705 +/- 0.040252
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,2.0,seed,41,4.780451,22.852714,3.642741,0.483336
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,2.0,seed,42,4.357023,18.983652,3.392215,0.507183
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,2.0,seed,43,5.296045,28.048089,3.888236,0.398462
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,2.0,seed,44,4.618776,21.333088,3.493050,0.479776
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,2.0,seed,45,4.310716,18.582277,3.399947,0.509638
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.0,2.0,mean_std,mean +/- std,4.672602 +/- 0.356023,21.959964 +/- 3.421183,3.563238 +/- 0.185895,0.475679 +/- 0.040456
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,0.5,seed,41,4.814058,23.175150,3.687614,0.476047
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,0.5,seed,42,4.381719,19.199463,3.420654,0.501580
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,0.5,seed,43,5.312206,28.219535,3.915108,0.394785
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,0.5,seed,44,4.633914,21.473160,3.508004,0.476360
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,0.5,seed,45,4.335273,18.794596,3.425879,0.504035
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,0.5,mean_std,mean +/- std,4.695434 +/- 0.353948,22.172381 +/- 3.414973,3.591452 +/- 0.188441,0.470561 +/- 0.039720
