scenario,target,model,alpha_obs,lambda_unobs,row_type,seed,RMSE,MSE,MAE,R2
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,0.5,seed,41,5.303051,28.122352,4.020028,0.118713
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,0.5,seed,42,5.104050,26.051322,3.945944,0.073347
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,0.5,seed,43,5.819331,33.864610,4.410180,-0.004742
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,0.5,seed,44,5.366159,28.795663,4.159242,0.004551
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,0.5,seed,45,4.819856,23.231011,3.775114,0.074533
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,0.5,mean_std,mean +/- std,5.282489 +/- 0.329087,28.012992 +/- 3.509457,4.062101 +/- 0.213644,0.053281 +/- 0.046641
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,1.0,seed,41,5.530582,30.587335,4.186933,0.041467
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,1.0,seed,42,5.271704,27.790858,4.090813,0.011472
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,1.0,seed,43,6.168427,38.049488,4.674790,-0.128905
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,1.0,seed,44,5.513084,30.394097,4.311136,-0.050705
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,1.0,seed,45,4.895101,23.962010,3.824132,0.045412
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,1.0,mean_std,mean +/- std,5.475779 +/- 0.415449,30.156758 +/- 4.615394,4.217561 +/- 0.279143,-0.016252 +/- 0.066000
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,1.5,seed,41,6.710193,45.026684,5.300681,-0.411027
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,1.5,seed,42,5.745926,33.015668,4.520993,-0.174376
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,1.5,seed,43,7.290478,53.151069,5.696934,-0.576960
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,1.5,seed,44,6.033514,36.403295,4.778366,-0.258440
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,1.5,seed,45,5.478314,30.011922,4.307276,-0.195602
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,1.5,mean_std,mean +/- std,6.251685 +/- 0.661939,39.521728 +/- 8.468215,4.920850 +/- 0.510537,-0.323281 +/- 0.151480
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,2.0,seed,41,5.716166,32.674550,4.327934,-0.023941
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,2.0,seed,42,6.505992,42.327934,5.207724,-0.505616
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,2.0,seed,43,6.200401,38.444967,4.693210,-0.140639
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,2.0,seed,44,6.188014,38.291521,4.905387,-0.323715
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,2.0,seed,45,4.992586,24.925913,3.889018,0.007012
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,0.5,2.0,mean_std,mean +/- std,5.920632 +/- 0.528297,35.332977 +/- 6.045512,4.604655 +/- 0.458407,-0.197380 +/- 0.192897
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,1.0,0.5,seed,41,5.359682,28.726189,4.109126,0.099791
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,1.0,0.5,seed,42,5.087872,25.886443,3.949644,0.079212
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,1.0,0.5,seed,43,5.796043,33.594109,4.418594,0.003283
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,1.0,0.5,seed,44,5.367738,28.812614,4.154603,0.003965
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,1.0,0.5,seed,45,4.854755,23.568645,3.812237,0.061082
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,1.0,0.5,mean_std,mean +/- std,5.293218 +/- 0.315347,28.117600 +/- 3.362042,4.088841 +/- 0.204626,0.049467 +/- 0.039384
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,1.0,1.0,seed,41,5.303045,28.122288,4.020024,0.118715
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,1.0,1.0,seed,42,5.104044,26.051264,3.945939,0.073349
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,1.0,1.0,seed,43,5.819326,33.864553,4.410176,-0.004741
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,1.0,1.0,seed,44,5.366158,28.795649,4.159241,0.004552
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,1.0,1.0,seed,45,4.819852,23.230976,3.775110,0.074534
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,1.0,1.0,mean_std,mean +/- std,5.282485 +/- 0.329087,28.012946 +/- 3.509454,4.062098 +/- 0.213644,0.053282 +/- 0.046642
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,1.0,1.5,seed,41,5.333508,28.446303,4.016119,0.108562
spatiotemp_100x150,Target_ST100x150,DLINEAR + differentiable_FRK,1.0,1.5,seed,42,5.148471,26.506749,3.983380,0.057148
