scenario,target,space_split,n_train_space,n_unobs_space,n_target_space,model,alpha_obs,lambda_unobs,row_type,seed,RMSE,MSE,MAE,R2
time_extrap_fixed500,Target_Time150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,0.5,seed,41,5.225965,27.310709,3.99543,0.079346
time_extrap_fixed500,Target_Time150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,0.5,seed,42,5.159303,26.618412,3.973685,0.120164
time_extrap_fixed500,Target_Time150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,0.5,seed,43,5.357096,28.698478,4.11057,0.036882
time_extrap_fixed500,Target_Time150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,0.5,seed,44,5.174256,26.77293,3.983816,0.07546
time_extrap_fixed500,Target_Time150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,0.5,seed,45,5.252172,27.585314,4.051362,0.086049
time_extrap_fixed500,Target_Time150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,0.5,mean_std,mean +/- std,5.233759 +/- 0.070279,27.397169 +/- 0.739245,4.022972 +/- 0.051382,0.079580 +/- 0.026567
time_extrap_fixed500,Target_Time150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1,seed,41,6.406694,41.045732,4.569073,-0.383667
time_extrap_fixed500,Target_Time150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1,seed,42,5.479165,30.021247,4.216276,0.007688
time_extrap_fixed500,Target_Time150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1,seed,43,6.592093,43.455691,4.556319,-0.458369
time_extrap_fixed500,Target_Time150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1,seed,44,5.767491,33.263949,4.238959,-0.148692
time_extrap_fixed500,Target_Time150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1,seed,45,5.910814,34.937726,4.303123,-0.157549
time_extrap_fixed500,Target_Time150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1,mean_std,mean +/- std,6.031251 +/- 0.410944,36.544869 +/- 4.978398,4.376750 +/- 0.154527,-0.228118 +/- 0.169767
time_extrap_fixed500,Target_Time150,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1.5,seed,41,9.562402,91.43954,5.999486,-2.082462
