scenario,target,space_split,n_train_space,n_unobs_space,n_target_space,model,alpha_obs,lambda_unobs,row_type,seed,RMSE,MSE,MAE,R2
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,41,4.795732,22.999042,3.664086,0.480028
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,42,4.367487,19.074944,3.404090,0.504813
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,43,5.302969,28.121481,3.901690,0.396888
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,44,4.625979,21.399680,3.500346,0.478152
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,45,4.323086,18.689073,3.413947,0.506820
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,1.0,1.0,mean_std,mean +/- std,4.683051 +/- 0.354798,22.056844 +/- 3.415642,3.576831 +/- 0.187279,0.473340 +/- 0.040060
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,STDK,,,seed,41,4.584719,21.019651,3.588671,0.246284
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,STDK,,,seed,42,4.576830,20.947369,3.574204,0.154588
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,STDK,,,seed,43,5.023541,25.235968,3.957166,-0.057220
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,STDK,,,seed,44,5.271959,27.793552,3.993041,0.023257
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,STDK,,,seed,45,4.337661,18.815306,3.436536,0.255772
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,STDK,,,mean_std,mean +/- std,4.758942 +/- 0.338879,22.762369 +/- 3.266255,3.709924 +/- 0.223225,0.124536 +/- 0.123484
space_extrap_fixed850,Target_Space100,200/300/100,200,300,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,41,4.748292,22.546278,3.677097,0.490613
space_extrap_fixed850,Target_Space100,200/300/100,200,300,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,42,4.470186,19.982559,3.438337,0.485696
