scenario,target,space_split,n_train_space,n_unobs_space,n_target_space,model,alpha_obs,lambda_unobs,row_type,seed,RMSE,MSE,MAE,R2
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,0.5,seed,41,4.795734,22.999065,3.664087,0.480028
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,0.5,seed,42,4.367490,19.074966,3.404091,0.504812
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,0.5,seed,43,5.302971,28.121501,3.901691,0.396888
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,0.5,seed,44,4.625981,21.399703,3.500347,0.478151
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,0.5,seed,45,4.323089,18.689094,3.413948,0.506819
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,0.5,mean_std,mean +/- std,4.683053 +/- 0.354798,22.056866 +/- 3.415641,3.576833 +/- 0.187279,0.473340 +/- 0.040060
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1.0,seed,41,4.780453,22.852733,3.642743,0.483336
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1.0,seed,42,4.357025,18.983670,3.392216,0.507182
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1.0,seed,43,5.296046,28.048106,3.888238,0.398462
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1.0,seed,44,4.618777,21.333105,3.493051,0.479775
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1.0,seed,45,4.310718,18.582294,3.399948,0.509637
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1.0,mean_std,mean +/- std,4.672604 +/- 0.356022,21.959982 +/- 3.421182,3.563239 +/- 0.185894,0.475679 +/- 0.040456
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1.5,seed,41,4.775749,22.807780,3.635106,0.484352
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1.5,seed,42,4.352959,18.948256,3.387485,0.508102
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1.5,seed,43,5.295067,28.037731,3.883153,0.398684
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1.5,seed,44,4.615481,21.302665,3.489858,0.480517
space_extrap_fixed850,Target_Space100,100/400/100,100,400,100,DLINEAR + differentiable_FRK,0.5,1.5,seed,45,4.303336,18.518698,3.390540,0.511316
