variable,missing_rate,min,p01,p05,mean,std,p50,p95,p99,max
air_pressure,0.0,564.9,633.9,769.1,948.9387548566683,84.83724921985491,985.3,1022.2,1030.1,1050.0
air_temperature,0.0,-17.5,-16.446153846153845,-7.2,14.417804797212703,11.536857089618536,16.0,30.5,34.3,47.2
relative_humidity,0.0,-16.85,-15.8,-6.6,14.912495343044931,11.522394089413737,16.4,31.0,34.8,48.1
wind_speed,0.0,-17.75,-16.72261790890269,-7.8,13.93989475329687,11.536245381443724,15.5,29.9,33.7,46.9
wind_direction,0.0,0.0,13.0,23.0,67.57281819370299,23.821059932572044,71.0,99.0,100.0,100.0
precipitation,0.0,-1.0,0.0,0.0,0.33630210585953585,2.3071893385646307,0.0,1.2,8.2,1049.7
solar_radiation,0.0,0.0,2.0,15.0,174.47251067450782,104.89172063149995,172.0,342.0,357.0,360.0
dew_point_temperature,0.0,0.0,0.0,0.3,2.0812656370688307,1.573126251768381,1.7,5.1,7.6,37.7
cloud_cover,0.0,0.0,3.0,16.0,175.55357929779268,104.97946899935043,173.0,343.0,357.0,360.0
visibility,0.0,0.0,0.4,0.8,2.7245943893373843,1.7457611930930819,2.3,6.1,8.7,48.9
